漢字,解説・構成
痞,疒（やまいだれ）に不に口
釉,釆（のごめへん）に由
垞,土（つちへん）に宅
瘭,疒（やまいだれ）に票
改,攵（のぶん・ぼくづくり）に己
閖,門（もんがまえ・かどがまえ）に水
揩,てへんに皆
揩,てへんに比に白
皕,百に百
剕,刂（りっとう）に非
鬩,鬥（とうがまえ・たたかいがまえ）に兒
鬩,鬥（とうがまえ・たたかいがまえ）に臼に儿
侂,亻（にんべん）に㡯
裝,衣（ころも）に壯
施,ほうへん・かたへんに㐌
施,「セ」は高校で習う読み方です。
瑠,おうへん・たまへんに留
愾,りっしんべんに氣
苟,くさかんむりに句
篪,竹（たけかんむり）に虒
癖,やまいだれに辟
痕,やまいだれに艮
㮤,木（き）に容
嗒,口（くちへん）に荅
彝,廾（にじゅうあし・こまぬき）に彑に米に糸
簧,竹（たけかんむり）に黃
鰧,魚（うお）に
絹,糸（いとへん）に肙
絹,「ケン」は高校で習う読み方です。
鴝,鳥（とり・とりへん）に句
笱,竹（たけかんむり）に句
絀,糸（いとへん）に出
羹,羔に美
羹,𦍌に灬に美
賺,貝（かいへん）に
蛬,虫（むし）に共
蕡,艹（くさかんむり）に賁
奸,女（おんなへん）に干
迵,しんにょう・しんにゅうに同
澥,氵（さんずい）に解
萍,くさかんむりに泙
桄,木（きへん）に光
鬧,鬥（とうがまえ・たたかいがまえ）に市
聻,耳（みみ）に漸
𨑕,しんにょう・しんにゅうに口
谿,谷（たに）に奚
㸅,火（ひへん）に
篁,竹（たけかんむり）に皇
篁,竹（たけかんむり）に白に王
立,「リュウ」は高校で習う読み方です。
認,言（ごんべん）に忍
認,「ニン」は中学校で習う読み方です。
𨏍,車（くるまへん）に榮
琬,王（たまへん・おうへん）に宛
眙,目（めへん）に台
眙,目（めへん）に厶に口
栄,「はえ」「はえる」は高校で習う読み方です。
所,戸（と・とびらのと）に斤
洫,さんずいに血
齏,齊（せい）に韭
羭,ひつじへんに兪
吉,口（くち）に士
儲,にんべんに諸
饅,しょくへんに曼
橖,木（きへん）に棠
㫗,ひらび・いわくに子
裾,ころもへんに居
螠,虫（むしへん）に益
勖,力（ちから）に冒
懾,りっしんべんに聶
懾,りっしんべんに耳に聑
勲,力（ちから）に重に灬
勲,動に灬
諌,言（ごんべん）に東
埶,坴に丸
觱,角（つの）に咸
麬,麥（むぎへん・ばくにょう）に皮
藾,くさかんむりに賴
麿,麻（あさかんむり）に呂
媠,女（おんなへん）に左に月
竢,立（たつへん）に矣
竢,立（たつへん）に厶に矢
蚶,虫（むしへん）に甘
祀,しめすへんに巳
欵,欠（かける・あくび・けんづくり）に匕に矢
凞,冫（にすい）に𤋮
俵,にんべんに表
癮,疒（やまいだれ）に隱
痙,疒（やまいだれ）に巠
筌,竹（たけかんむり）に
撕,てへんに斯
撕,てへんに其に斤
穪,禾（のぎへん）に爾
梯,木（きへん）に弟
璢,おうへん・たまへんに畱
戀,心（こころ）に䜌
萗,くさかんむりに宗
褐,ころもへんに曷
磧,石（いしへん）に責
徧,彳（ぎょうにんべん）に扁広く行きわたる意を表します。
槵,木（きへん）に患
磷,石（いしへん）に粦
磷,石（いしへん）に米に舛
虚,「コ」は高校で習う読み方です。
𣟧,木（きへん）に
罣,罒（あみめ・あみがしら・よんがしら）に圭
罣,罒（あみめ・あみがしら・よんがしら）に土に土
這,しんにょう・しんにゅうに言
界,田（た）に介
騷,うまへんに蚤
蹕,足（あしへん）に畢
芍,くさかんむりに勺
暾,日（ひへん・にちへん）に敦
礬,石（いし）に樊
礬,石（いし）に棥に大
頄,頁（おおがい・いちのかい）に九
拗,てへんに幼
拗,てへんに幺に力
請,言（ごんべん）に青
請,「シン」「こう」は高校で習う読み方です。
柄,きへんに丙
柄,「ヘイ」は高校で習う読み方です。
蝴,虫（むしへん）に胡
麸,麦（むぎへん・ばくにょう）に夫
綜,糸（いとへん）に宗
瞿,䀠に隹
瞿,目（め）に目に隹
闐,門（もんがまえ・かどがまえ）に眞
板,きへんに反
鴛,鳥（とり）に夗
鴛,鳥（とり）に夕に㔾
蔡,くさかんむりに祭
剬,刂（りっとう）に耑
剬,刂（りっとう）に山に而
醞,酉（とりへん）に𥁕
醞,酉（とりへん）に囚に皿
煮,れっか・れんがに者
煮,「シャ」は高校で習う読み方です。
陣,こざとへんに車
癇,疒（やまいだれ）に閒
濕,さんずいに㬎
儛,亻（にんべん）に舞
毓,每に㐬
縕,糸（いとへん）に𥁕
縕,糸（いとへん）に囚に皿
錑,金（かねへん）に戾
滻,氵（さんずい）に產
棷,木（きへん）に取
棷,木（きへん）に耳に又
崎,やまへんに奇
祖,しめすへんに且
蔆,くさかんむりに淩
琰,王（たまへん・おうへん）に炎
骹,骨（ほねへん）に交
垳,土（つちへん・どへん）に行
鏇,金（かねへん）に旋
悽,りっしんべんに妻
裔,衣（ころも）に冏
崟,山（やま・やまかんむり）に金
鷏,鳥（とり）に真
頖,頁（おおがい・いちのかい）に
㽵,やまいだれに土
讀,言（ごんべん）に𧶠
搨,てへんに日に羽
歉,欠（かける・あくび・けんづくり）に
曵,曳に丶
鵜,鳥（とり）に弟
隳,隋に𠇍
嵐,やま・やまかんむりに風
琤,王（おうへん）に爭
乂,丿（の・はらいぼう）に乀
焯,火（ひへん）に卓
瞪,目（めへん）に登
怦,忄（りっしんべん）に
餻,しょくへんに羔
餻,しょくへんに𦍌に灬
䪼,頁（おおがい・いちのかい）に出
倘,亻（にんべん）に尙
詆,ごんべんに氐
夷,大（だい）に弓
蝘,虫（むしへん）に匽
泓,さんずいに弘
泓,さんずいに弓に厶
縫,糸（いとへん）に逢
逆,しんにょう・しんにゅうに屰
櫜,木（き）に厲
栞,木（き）に幵
鶖,鳥（とり）に秋
晬,日（ひへん・にちへん）に卒
爐,火（ひへん）に盧
𪗱,歯（はへん）に且
第,たけかんむりに𢎨
第,※第の成り立ちには諸説あり、「竹の札」ではなく「竹の節」を表すという説もあります。
岳,山（やま）に丘
頻,頁（おおがい・いちのかい）に歩
匜,匚（はこがまえ）に也
視,見（みる）に礻
籗,竹（たけかんむり）に霍
籗,竹（たけかんむり）に雨に隹
仿,亻（にんべん）に方
墨,土（つち）に黑
文,「ふみ」は中学校で習う読み方です。
婿,おんなへんに胥
婿,「セイ」は高校で習う読み方です。
眥,目（め）に此
玻,王（おうへん・たまへん）に皮
眷,目（め）に𠔉
𣑊,木（きへん）に在
蕽,艹（くさかんむり）に農
蕽,艹（くさかんむり）に曲に辰
梶,木（きへん）に尾
爸,父（ちち）に巴
塌,土（つちへん）に
塌,土（つちへん）に日に羽
撤,てへんに育に攵
墊,土（つち）に執
墊,土（つち）に幸に丸
患,心（こころ）に串
患,「わずらう」は高校で習う読み方です。
檳,木（きへん）に賓
樒,木（きへん）に密
赧,赤（あか・あかへん）に𠬝
讃,言（ごんべん）に賛
氤,气（きがまえ）に因
埽,土（つちへん）に掃
錞,金（かねへん）に享
枲,木（き）に台
枲,木（きへん）に厶に口
署,あみめ・あみがしら・よんがしらに者
奠,大（だい）に酋
荗,艹（くさかんむり）に戍
臉,月（にくづき）に僉
灤,氵（さんずい）に欒
判,りっとうに半
狗,けものへんに句
譿,言（ごんべん）に慧
譿,言（ごんべん）に彗に心
思,心（こころ）に田
位,にんべんに立
胡,古に月
棣,木（きへん）に隶
耀,光に
窒,あなかんむりに至
切,刀（かたな）に七
切,「サイ」は中学校で習う読み方です。
磊,石（いし）に砳
磊,石（いし）に石に石
僞,にんべんに爲
駕,馬（うま）に加
皴,皮（けがわ・ひのかわ）に夋
街,ぎょうがまえ・ゆきがまえに圭
街,彳に圭に亍
慨,りっしんべんに既
𣏕,木（きへん）に𣎳
𧄹,艹（くさかんむり）に識
兄,儿（ひとあし・にんにょう）に口
兄,「ケイ」は中学校で習う読み方です。
趨,走（そうにょう）に芻
駔,馬（うまへん）に且
櫔,木（きへん）に厲
炒,火（ひへん）に少
列,りっとうに歹
橦,木（きへん）に童
頒,頁（おおがい・いちのかい）に分
湍,さんずいに耑
湍,さんずいに山に而
