漢字,名乗り訓
憲,のり
懸,とお
懸,はる
拳,かたし
拳,つとむ
権,のり
権,よし
牽,くる
牽,とき
牽,とし
牽,ひき
牽,ひた
献,たけ
研,あき
研,きし
研,きよ
研,よし
絹,きぬ
絹,まさ
県,あがた
県,さと
県,むら
見,あき
見,あきら
見,ちか
見,み
謙,あき
謙,かた
謙,かね
謙,しず
謙,のり
謙,ゆずる
謙,よし
賢,かた
賢,かつ
賢,さか
賢,さかし
賢,さと
賢,さとし
賢,さとる
賢,すぐる
賢,たか
賢,ただ
賢,とし
賢,まさ
賢,まさる
賢,ます
賢,やす
軒,のき
鍵,かぎ
険,たか
険,のり
顕,あき
顕,あきら
顕,たか
顕,てる
験,とし
元,あさ
元,ちか
元,つかさ
元,なが
元,はじむ
元,はじめ
元,はる
元,まさ
元,もと
元,ゆき
元,よし
原,おか
原,はじめ
原,はら
原,もと
厳,いかし
厳,いず
厳,いつ
厳,いつき
厳,いわ
厳,かね
厳,たか
厳,つよ
厳,ひろ
厳,よし
弦,いと
弦,お
弦,つる
弦,ふさ
減,き
源,はじめ
源,もと
源,よし
玄,くろ
玄,しず
玄,しずか
玄,つね
玄,とお
玄,はじめ
玄,はる
玄,はるか
玄,ふか
玄,ふかし
現,あり
現,み
絃,いと
絃,お
絃,つる
言,あき
言,あや
言,こと
言,とき
言,とし
言,とも
言,のぶ
言,のり
言,ゆき
諺,おう
諺,こと
諺,たけし
乎,か
古,たか
古,ひさ
古,ふる
呼,うん
呼,おと
呼,こえ
呼,よぶ
固,かた
固,かたし
固,かたむ
固,たか
固,み
固,もと
孤,かず
孤,とも
己,おと
己,な
庫,くら
戸,いえ
戸,かど
戸,と
戸,ど
戸,ひろ
戸,べ
戸,もり
故,ひさ
故,ふる
故,もと
湖,ひろし
胡,ひさ
虎,たけ
虎,とら
顧,み
五,い
五,いず
五,いつ
五,かず
五,ゆき
伍,あつむ
伍,いつ
伍,くみ
伍,とも
伍,ひとし
午,うま
午,ま
呉,くに
呉,くれ
吾,あ
吾,みち
吾,わが
吾,われ
後,しつ
後,ちか
後,のち
後,のり
後,もち
御,お
御,おき
御,おや
御,のり
御,み
御,みつ
悟,さと
悟,さとし
悟,さとる
悟,のり
語,かた
語,かたり
語,こと
語,つぐ
護,さね
護,まもる
護,もり
鯉,こい
交,かた
交,とも
交,みち
交,よしみ
侯,きぬ
侯,きみ
侯,とき
侯,よし
候,そろ
候,とき
候,みよ
候,よし
倖,さち
光,あき
光,あきら
光,あり
光,かぬ
光,かね
光,さかえ
光,てる
光,ひかり
光,ひかる
光,ひこ
光,ひろ
光,ひろし
光,みつ
光,みつる
公,あきら
公,いさお
公,きみ
公,きん
公,さと
公,たか
公,ただ
公,ただし
公,とおる
公,とも
公,なお
公,ひと
公,ひろ
公,まさ
公,ゆき
功,あう
功,あつ
功,いさ
功,いさお
功,いさおし
功,かた
功,かつ
功,こと
功,つとむ
功,なり
功,なる
功,のり
効,いたる
効,かず
効,かた
効,すすむ
効,なり
効,のり
厚,あつ
厚,あつし
厚,ひろ
厚,ひろし
口,あき
口,くち
口,ひろ
向,ひさ
向,むか
向,むかう
向,むき
向,むけ
后,きみ
后,のち
好,この
好,このむ
好,すみ
好,たか
好,み
好,よし
好,よしみ
孔,うし
孔,ただ
孔,みち
孔,よし
孝,あつ
孝,たか
孝,たかし
孝,なり
孝,のり
孝,みち
孝,もと
孝,ゆき
孝,よし
宏,あつ
宏,ひろ
宏,ひろし
工,たくみ
工,ただ
工,つとむ
工,のり
工,よし
巧,たえ
巧,たくみ
巧,よし
巷,さと
幸,さい
幸,さき
幸,さち
幸,たか
幸,たつ
幸,とみ
幸,とも
幸,ひで
幸,みゆき
幸,むら
幸,ゆき
幸,よし
広,お
広,たけ
広,とう
広,ひろ
広,ひろし
広,みつ
庚,か
庚,つぐ
庚,やす
康,しず
康,しずか
康,みち
康,やす
康,やすし
康,よし
弘,お
弘,ひろ
弘,ひろし
弘,ひろむ
弘,みつ
恒,ちか
恒,つね
恒,のぶ
恒,ひさ
恒,ひさし
恒,ひとし
恒,わたる
攻,おさむ
攻,たか
攻,よし
昂,あき
昂,あきら
昂,たか
昂,たかし
昂,のぼる
更,さら
更,とお
更,とく
更,のぶ
校,とし
校,なり
江,え
江,きみ
江,ただ
江,のぶ
洪,おお
洪,ひろ
洪,ひろし
浩,いさむ
浩,おおい
浩,きよし
浩,はる
浩,ひろ
浩,ひろし
浩,ゆたか
港,みなと
溝,みぞ
甲,か
甲,かつ
甲,き
甲,きのえ
甲,まさる
皇,すべ
皇,すめら
硬,かた
硬,かたし
紅,あか
紅,いろ
紅,くれ
紅,べに
紅,もみ
紘,ひろ
紘,ひろし
綱,つな
綱,つね
耕,おさむ
耕,たがやす
耕,つとむ
耕,やす
考,たか
考,ただ
考,ちか
考,とし
考,なか
考,なり
考,なる
考,のり
考,やす
考,よし
肯,さき
肯,むね
航,わたる
荒,あら
荒,あらら
荒,ら
行,あきら
行,き
行,たか
行,つら
行,のり
行,ひら
行,みち
行,もち
行,やす
行,ゆき
衡,ちか
衡,ひで
衡,ひとし
衡,ひら
衡,ひろ
衡,まもる
講,つぐ
講,のり
講,みち
貢,すすむ
貢,つぐ
貢,みつ
貢,みつぎ
貢,みつぐ
郊,おか
郊,さと
郊,ひろ
鉱,かね
鋼,かた
項,うじ
香,か
香,かおり
香,かおる
香,たか
香,よし
高,あきら
高,うえ
高,かぎり
高,すけ
高,たか
高,たかい
高,たかし
高,たけ
高,ほど
鴻,とき
鴻,ひろ
鴻,ひろし
剛,かた
剛,かたし
剛,こわし
剛,たか
剛,たかし
剛,たけ
剛,たけし
剛,つよ
剛,つよし
剛,ひさ
剛,まさ
剛,よし
号,な
号,なづく
合,あい
合,あう
合,かい
合,はる
合,よし
豪,かた
豪,かつ
豪,すぐる
豪,たけ
豪,たけし
豪,つよ
豪,つよし
豪,とし
豪,ひで
克,いそし
克,かつ
克,かつみ
克,すぐる
克,たえ
克,なり
克,まさる
克,よし
刻,とき
告,しめす
告,つぐ
国,くに
国,とき
穀,よし
穀,より
酷,あつ
黒,くろ
今,いま
墾,つとむ
墾,ひらく
昆,ひ
昆,ひで
昆,やす
根,ね
根,もと
混,むら
混,むろ
魂,たま
魂,みたま
