漢字,異体字
廝,厮
廚,厨
廚,㕑
廛,壥
廛,鄽
廛,㙻
廛,㕓
廢,廃
廢,废
廡,庑
廩,廪
廬,庐
廳,庁
廳,廰
廳,厅
廰,庁
廰,廳
廰,厅
廸,迪
弃,棄
弉,奘
彝,彜
彝,彛
彝,彞
彜,彝
彜,彛
彜,彞
弑,弒
彈,弾
彈,弹
彌,弥
彌,㣆
彎,弯
弯,彎
彑,彐
彙,彚
彙,𢑷
徃,往
徂,䢐
徑,径
徇,𢓈
徇,狥
從,従
從,从
徙,𨑒
忝,㤁
悳,徳
悳,𢛳
悳,恴
悳,惪
悳,㥁
恠,怪
怱,忩
怱,悤
怕,𢗌
恚,㤬
恪,愙
恪,㤩
恪,愘
恟,忷
恊,協
恊,协
恆,恒
恤,䘏
恤,卹
悖,愂
悋,恡
惡,悪
惡,僫
惡,恶
惠,恵
惠,僡
悴,忰
忰,悴
悽,恓
悵,怅
慍,愠
愆,諐
愡,憁
惻,恻
惱,悩
惱,𢚰
惱,恼
愨,慤
愨,悫
愧,愧
愼,慎
愼,眘
愴,怆
愽,博
慂,惥
慳,悭
慘,惨
慙,慚
慙,惭
慚,慙
慚,惭
慫,怂
慟,憅
憙,憘
憖,憗
憖,慭
憇,憩
憚,惮
憊,𢟡
憊,惫
憑,慿
憫,𢡻
憫,悯
憮,怃
懌,怿
懊,㤇
應,応
應,应
懷,懐
懈,𢢣
懍,懔
懦,懧
懣,𢡛
懣,懑
懺,懴
懴,懺
懿,㦤
懼,愳
懾,慑
戀,恋
戔,㦮
戛,戞
戞,戛
截,𢧵
戰,戦
戰,战
戲,戯
戲,戱
戲,戏
扼,㧖
拔,抜
拔,㧞
拏,拿
拿,拏
擔,担
拜,拝
拂,払
拇,胟
拯,抍
挾,挟
搜,捜
搜,𢯱
搜,摉
捏,揑
掎,𢰤
捫,扪
揀,拣
插,挿
插,揷
揶,捓
揄,𢶖
搖,揺
搖,摇
搖,㨱
搦,搻
搶,抢
攝,摂
攝,摄
搗,捣
摯,挚
摶,抟
攪,撹
攪,搅
撓,挠
撥,拨
撈,𢭐
撈,捞
據,拠
據,㩀
擇,択
擇,择
撻,挞
擘,孹
擂,攂
擱,搁
